Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed3pm,Humidity3pm,Pressure3pm,Cloud3pm,Temp3pm,RainToday,RainTomorrow
10-Oct,Sydney,12.9,20.3,0.2,3.0,10.9,37.0,26.0,57.0,1025.6,1.0,19.8,No,No
10-Oct,Sydney,13.3,21.5,0.0,6.6,11.0,41.0,28.0,58.0,1022.4,5.0,21.3,No,No
10-Oct,Sydney,15.3,23.0,0.0,5.6,11.0,41.0,19.0,63.0,1017.8,4.0,22.2,No,No
10-Oct,Sydney,12.9,26.7,0.2,3.8,12.1,33.0,24.0,56.0,1015.0,5.0,22.5,No,No
10-Oct,Sydney,14.8,23.8,0.0,6.8,9.6,54.0,26.0,69.0,1014.7,7.0,20.6,No,Yes
10-Oct,Sydney,14.5,22.1,0.2,6.2,1.8,31.0,15.0,59.0,1017.5,7.0,20.5,No,No
10-Nov,Sydney,18.1,20.4,5.2,6.6,0.1,48.0,28.0,77.0,1012.1,8.0,18.6,Yes,Yes
10-Nov,Sydney,12.0,23.9,0.2,4.0,11.9,44.0,24.0,54.0,1016.3,3.0,20.7,No,No
10-Nov,Sydney,14.4,18.1,0.4,5.4,2.8,48.0,20.0,68.0,1020.5,7.0,17.6,No,Yes
10-Nov,Sydney,13.4,19.2,8.4,8.4,2.7,46.0,30.0,53.0,1022.1,7.0,17.8,Yes,Yes
10-Nov,Sydney,16.1,26.3,0.0,5.8,7.9,74.0,28.0,52.0,1015.1,7.0,23.8,No,Yes
10-Nov,Sydney,17.2,23.6,5.6,11.2,7.0,37.0,11.0,54.0,1024.2,8.0,23.2,Yes,No
10-Nov,Sydney,18.2,24.5,0.0,3.2,6.0,52.0,30.0,72.0,1017.1,7.0,23.5,No,Yes
10-Nov,Sydney,19.7,27.2,8.6,7.2,9.3,30.0,24.0,43.0,1012.0,3.0,25.0,Yes,No
10-Nov,Sydney,17.4,23.5,21.0,1.0,7.9,35.0,20.0,65.0,1011.3,3.0,22.8,Yes,No
10-Nov,Sydney,17.1,22.3,0.4,6.6,4.2,28.0,15.0,61.0,1015.7,6.0,21.0,No,No
10-Nov,Sydney,16.8,23.4,1.0,3.6,8.8,35.0,20.0,59.0,1012.2,6.0,22.6,No,No
10-Nov,Sydney,16.7,20.0,0.0,8.0,0.4,67.0,33.0,58.0,1024.0,8.0,18.5,No,No
10-Nov,Sydney,16.5,24.0,0.0,9.0,11.4,44.0,26.0,54.0,1024.3,2.0,23.2,No,No
10-Nov,Sydney,17.5,24.7,0.0,11.0,12.6,56.0,26.0,58.0,1022.0,1.0,24.1,No,No
10-Nov,Sydney,18.5,26.0,0.0,8.8,12.1,44.0,20.0,53.0,1017.7,1.0,25.2,No,No
10-Nov,Sydney,18.9,24.1,0.0,11.6,9.0,37.0,19.0,72.0,1015.3,7.0,22.4,No,No
10-Nov,Sydney,16.4,21.6,5.6,1.8,0.9,44.0,17.0,91.0,1014.5,8.0,20.2,Yes,Yes
10-Dec,Sydney,17.2,20.1,27.6,3.4,0.0,43.0,19.0,89.0,1015.3,8.0,19.9,Yes,Yes
10-Dec,Sydney,18.5,24.3,21.0,1.8,5.4,44.0,22.0,78.0,1015.9,7.0,22.7,Yes,No
10-Dec,Sydney,19.8,24.4,0.2,5.2,8.7,43.0,24.0,74.0,1014.7,6.0,23.2,No,No
10-Dec,Sydney,20.4,25.7,1.0,5.8,11.4,28.0,19.0,67.0,1013.3,5.0,25.5,No,No
10-Dec,Sydney,21.0,26.0,0.0,8.0,13.2,43.0,24.0,63.0,1015.4,3.0,25.4,No,No
10-Dec,Sydney,20.8,26.3,0.0,7.6,12.2,63.0,28.0,68.0,1012.5,5.0,25.7,No,No
10-Dec,Sydney,22.0,30.7,0.0,10.4,2.6,31.0,9.0,62.0,1008.2,8.0,28.3,No,No
10-Dec,Sydney,22.8,29.6,0.0,4.8,4.3,46.0,28.0,72.0,1006.0,7.0,24.0,No,No
10-Dec,Sydney,18.5,26.3,0.0,10.2,12.8,44.0,24.0,51.0,1012.7,1.0,25.5,No,No
10-Dec,Sydney,20.0,25.6,0.0,6.0,10.7,43.0,24.0,69.0,1006.7,4.0,24.7,No,No
10-Dec,Sydney,21.7,26.4,0.0,7.6,3.9,52.0,6.0,91.0,1006.0,8.0,20.6,No,Yes
10-Dec,Sydney,18.0,26.4,7.6,5.8,3.8,41.0,6.0,71.0,1003.5,6.0,23.0,Yes,No
10-Dec,Sydney,13.3,21.7,4.8,9.2,11.6,72.0,41.0,32.0,1000.7,2.0,21.3,Yes,No
10-Dec,Sydney,15.4,27.8,0.0,8.4,13.5,52.0,20.0,26.0,1007.9,1.0,27.1,No,No
10-Dec,Sydney,17.7,25.7,0.0,9.2,12.7,41.0,26.0,61.0,1017.6,5.0,25.2,No,No
10-Dec,Sydney,19.1,27.0,0.0,8.4,7.5,59.0,19.0,57.0,1016.5,5.0,26.2,No,No
12-Jul,Sydney,9.9,16.1,0.0,3.0,5.9,44.0,28.0,28.0,1013.4,2.0,15.8,No,No
12-Jul,Sydney,7.5,16.8,0.0,3.8,9.6,52.0,24.0,36.0,1015.5,3.0,16.1,No,No
