DATE,PRCP,TMAX,TMIN,RAIN
8-Dec,0.16,55.0,50.0,TRUE
8-Dec,0.03,51.0,43.0,FALSE
8-Dec,0.0,49.0,42.0,FALSE
8-Dec,0.0,49.0,37.0,FALSE
8-Dec,0.0,48.0,34.0,FALSE
8-Dec,0.0,50.0,38.0,TRUE
8-Dec,0.09,49.0,43.0,FALSE
8-Dec,0.0,45.0,39.0,TRUE
8-Dec,0.06,46.0,42.0,TRUE
8-Dec,0.05,48.0,44.0,FALSE
8-Dec,0.0,45.0,38.0,TRUE
8-Dec,0.73,45.0,34.0,TRUE
8-Dec,0.34,40.0,32.0,TRUE
8-Dec,0.06,32.0,22.0,FALSE
8-Dec,0.0,30.0,19.0,FALSE
8-Dec,0.0,31.0,20.0,TRUE
8-Dec,0.05,36.0,29.0,TRUE
8-Dec,0.18,35.0,25.0,FALSE
8-Dec,0.0,27.0,20.0,TRUE
8-Dec,0.16,26.0,14.0,TRUE
8-Dec,0.27,31.0,24.0,TRUE
8-Dec,0.02,34.0,27.0,FALSE
8-Dec,0.0,35.0,29.0,TRUE
8-Dec,0.44,38.0,30.0,TRUE
8-Dec,0.2,36.0,33.0,TRUE
8-Dec,0.15,38.0,32.0,TRUE
8-Dec,0.29,44.0,37.0,TRUE
8-Dec,0.35,44.0,38.0,TRUE
8-Dec,0.26,42.0,36.0,TRUE
8-Dec,0.12,43.0,34.0,TRUE
8-Dec,0.09,44.0,37.0,TRUE
9-Jan,0.71,46.0,36.0,TRUE
9-Jan,0.12,38.0,33.0,FALSE
9-Jan,0.0,40.0,32.0,TRUE
9-Jan,0.57,38.0,30.0,TRUE
9-Jan,0.04,46.0,34.0,TRUE
9-Jan,1.22,53.0,42.0,TRUE
9-Jan,2.29,52.0,50.0,TRUE
9-Jan,0.03,50.0,37.0,FALSE
9-Jan,0.0,43.0,36.0,TRUE
9-Jan,0.14,44.0,39.0,TRUE
9-Jan,0.03,48.0,44.0,TRUE
9-Jan,0.08,49.0,46.0,FALSE
9-Jan,0.0,46.0,40.0,FALSE
9-Jan,0.0,42.0,36.0,FALSE
9-Jan,0.0,42.0,35.0,FALSE
9-Jan,0.0,37.0,32.0,FALSE
9-Jan,0.0,44.0,32.0,FALSE
9-Jan,0.0,51.0,30.0,FALSE
9-Jan,0.0,42.0,29.0,FALSE
9-Jan,0.0,39.0,30.0,FALSE
9-Jan,0.0,40.0,31.0,FALSE
9-Jan,0.0,39.0,32.0,FALSE
9-Jan,0.0,41.0,31.0,TRUE
9-Jan,0.04,41.0,29.0,TRUE
9-Jan,0.02,35.0,29.0,FALSE
9-Jan,0.0,39.0,25.0,TRUE
9-Jan,0.09,42.0,30.0,FALSE
9-Jan,0.0,46.0,37.0,FALSE
9-Jan,0.0,47.0,35.0,FALSE
9-Jan,0.0,49.0,31.0,TRUE
9-Jan,0.02,45.0,34.0,FALSE
9-Feb,0.0,43.0,33.0,FALSE
9-Feb,0.0,52.0,38.0,FALSE
9-Feb,0.0,55.0,32.0,FALSE
9-Feb,0.0,63.0,36.0,TRUE
9-Feb,0.01,49.0,38.0,TRUE
9-Feb,0.04,44.0,38.0,FALSE
9-Feb,0.0,42.0,32.0,TRUE
9-Feb,0.01,44.0,32.0,TRUE
9-Feb,0.06,41.0,33.0,TRUE
9-Feb,0.24,39.0,31.0,FALSE
9-Feb,0.0,46.0,32.0,FALSE
9-Feb,0.0,46.0,31.0,FALSE
9-Feb,0.0,45.0,34.0,FALSE
9-Feb,0.0,47.0,35.0,TRUE
9-Feb,0.05,46.0,33.0,FALSE
9-Feb,0.0,48.0,34.0,FALSE
9-Feb,0.0,50.0,39.0,FALSE
9-Feb,0.0,54.0,35.0,FALSE
9-Feb,0.0,51.0,33.0,FALSE
9-Feb,0.0,52.0,30.0,FALSE
9-Feb,0.0,55.0,33.0,TRUE
9-Feb,0.07,57.0,43.0,TRUE
9-Feb,0.23,57.0,44.0,TRUE
9-Feb,0.34,48.0,44.0,TRUE
9-Feb,0.25,45.0,32.0,TRUE
9-Feb,0.21,38.0,26.0,FALSE
9-Feb,0.0,47.0,34.0,FALSE
9-Feb,0.0,54.0,38.0,TRUE
9-Mar,0.3,57.0,44.0,TRUE
9-Mar,0.11,57.0,44.0,TRUE
9-Mar,0.24,55.0,42.0,TRUE
9-Mar,0.03,46.0,40.0,TRUE
9-Mar,0.05,45.0,34.0,FALSE
9-Mar,0.0,45.0,28.0,TRUE
9-Mar,0.08,45.0,31.0,TRUE
9-Mar,0.32,40.0,30.0,TRUE
9-Mar,0.34,37.0,31.0,FALSE
9-Mar,0.0,40.0,27.0,FALSE
9-Mar,0.0,44.0,26.0,FALSE
9-Mar,0.0,51.0,29.0,FALSE
9-Mar,0.0,55.0,33.0,TRUE
9-Mar,0.49,45.0,38.0,TRUE
